10.222.131.26:37284,AH00529: /people/home/skattel/public_html/uni_gym_booking/.htaccess pcfg_openfile: unable to check htaccess file,Mon Nov 16 08:54:43.572059 2020
10.222.131.26:37294,AH00529: /people/home/skattel/public_html/uni_gym_booking/includes/.htaccess pcfg_openfile: unable to check htaccess file,Mon Nov 16 08:54:43.572059 2021
10.222.131.26:37294,AH00529: /people/home/skattel/public_html/uni_gym_booking/project/.htaccess pcfg_openfile: unable to check htaccess file,Mon Nov 16 08:54:43.572059 2022
10.222.131.26:37308,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:56:15.933278 2020
10.222.131.26:37308,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:56:15.933931 2020
10.222.131.26:37308,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:56:15.934428 2020
10.222.131.26:37308,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:56:15.934943 2020
10.222.131.26:37308,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:56:15.935447 2020
10.222.131.26:37308,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:56:15.936000 2020
10.222.131.26:37308,PHP Warning:  Unknown: failed to open stream: Permission denied in Unknown on line 0,Mon Nov 16 08:56:17.629828 2020
10.222.131.26:37308,PHP Fatal error:  Unknown: Failed opening required '/people/home/skattel/public_html/uni_gym_booking/project/index.php' (include_path='.:/usr/share/php7:/usr/share/php7/PEAR') in Unknown on line 0,Mon Nov 16 08:56:17.629880 2020
10.222.131.26:37310,PHP Warning:  Unknown: failed to open stream: Permission denied in Unknown on line 0,Mon Nov 16 08:56:27.534873 2020
10.222.131.26:37310,PHP Fatal error:  Unknown: Failed opening required '/people/home/skattel/public_html/uni_gym_booking/project/index.php' (include_path='.:/usr/share/php7:/usr/share/php7/PEAR') in Unknown on line 0,Mon Nov 16 08:56:27.534919 2020
10.222.131.26:37400,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:09.282484 2020
10.222.131.26:37400,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:09.282801 2020
10.222.131.26:37400,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:09.283077 2020
10.222.131.26:37400,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:09.283344 2020
10.222.131.26:37400,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:09.283620 2020
10.222.131.26:37400,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:09.283891 2020
10.222.131.26:37400,PHP Warning:  require(/people/home/skattel/public_html/uni_gym_booking/includes/config.php): failed to open stream: Permission denied in /people/home/skattel/public_html/uni_gym_booking/project/index.php on line 2,Mon Nov 16 08:59:10.704214 2020
10.222.131.26:37400,PHP Fatal error:  require(): Failed opening required '../includes/config.php' (include_path='.:/usr/share/php7:/usr/share/php7/PEAR') in /people/home/skattel/public_html/uni_gym_booking/project/index.php on line 2,Mon Nov 16 08:59:10.704251 2020
10.222.131.26:37402,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:13.016629 2020
10.222.131.26:37402,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:13.016932 2020
10.222.131.26:37402,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:13.017197 2020
10.222.131.26:37402,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:13.017481 2020
10.222.131.26:37402,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:13.017768 2020
10.222.131.26:37402,AH00686: cannot read directory for multi: /people/home/skattel/public_html/uni_gym_booking/includes/,Mon Nov 16 08:59:13.018018 2020
